,name,artist,genre,popularity,genre number,numbe in genre
0,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,86,1,8
1,Never Really Over,Katy Perry,dance pop,89,1,8
2,No Guidance (feat. Drake),Chris Brown,dance pop,82,1,8
3,You Need To Calm Down,Taylor Swift,dance pop,90,1,8
4,Shallow,Lady Gaga,dance pop,87,1,8
5,7 rings,Ariana Grande,dance pop,89,1,8
6,boyfriend (with Social House),Ariana Grande,dance pop,85,1,8
7,"fuck, i'm lonely (with Anne-Marie)",Lauv,dance pop,78,1,8
8,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,82,2,7
9,I Don't Care (with Justin Bieber),Ed Sheeran,pop,84,2,7
10,Beautiful People (feat. Khalid),Ed Sheeran,pop,86,2,7
11,How Do You Sleep?,Sam Smith,pop,90,2,7
12,Someone You Loved,Lewis Capaldi,pop,88,2,7
13,Talk,Khalid,pop,84,2,7
14,Antisocial (with Travis Scott),Ed Sheeran,pop,87,2,7
15,Con Calma,Daddy Yankee,latin,91,3,5
16,QUE PRETENDES,J Balvin,latin,89,3,5
17,Te Robaré,Nicky Jam,latin,88,3,5
18,LA CANCIÓN,J Balvin,latin,90,3,5
19,Soltera - Remix,Lunay,latin,91,3,5
20,Call You Mine,The Chainsmokers,edm,88,4,3
21,Higher Love,Kygo,edm,88,4,3
22,Takeaway,The Chainsmokers,edm,84,4,3
23,It's You,Ali Gatie,canadian hip hop,89,5,3
24,Lalala,Y2K,canadian hip hop,88,5,3
25,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,92,5,3
26,China,Anuel AA,reggaeton flow,92,6,2
27,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,83,6,2
28,Callaita,Bad Bunny,reggaeton,93,7,2
29,0.958333333,Maluma,reggaeton,89,7,2
30,Otro Trago - Remix,Sech,panamanian pop,87,8,2
31,Otro Trago,Sech,panamanian pop,91,8,2
32,bad guy (with Justin Bieber),Billie Eilish,electropop,89,9,2
33,bad guy,Billie Eilish,electropop,95,9,2
34,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,91,10,2
35,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,94,10,2
36,Old Town Road - Remix,Lil Nas X,country rap,87,11,2
37,Panini,Lil Nas X,country rap,91,11,2
38,Señorita,Shawn Mendes,canadian pop,79,12,2
39,If I Can't Have You,Shawn Mendes,canadian pop,70,12,2
40,Happier,Marshmello,brostep,88,13,1
41,One Thing Right,Marshmello,brostep,88,13,1
42,Ransom,Lil Tecca,trap music,92,14,1
43,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,89,15,1
45,Dance Monkey,Tones and I,australian pop,83,16,1
47,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,89,17,1
49,Sucker,Jonas Brothers,boy band,80,18,1
51,Truth Hurts,Lizzo,escape room,91,19,1
53,Piece Of Your Heart,MEDUZA,pop house,91,20,1
55,Con Altura,ROSALÍA,r&b en espanol,88,21,1
